decision_id,dof,parent_candidate_id,status,fix_path,selected_candidate_id,R,K_ratio,clin,bquad,bmult,moor_json,conv_json,fork_reason,notes,created_time
DEC_PITCH_20260611T063319Z0000,FD_PITCH,STARTING_MODEL,DRY-RUN,,PHYS_PITCH_BASE_63319Z0000,,,,,,,,,dry-run candidate materialized only,2026-06-11T06:33:21+00:00
DEC_PITCH_20260611T064324Z0000,FD_PITCH,STARTING_MODEL,DIAGNOSTIC-FORK,,PHYS_PITCH_BASE_64324Z0000,0.07711445790162737,,,,,{},{},energy-leak:Surge,model leak 2.42; reference 0.365,2026-06-11T06:47:21+00:00
DEC_SURGE_20260611T070258Z0000,FD_SURGE,STARTING_MODEL,DIAGNOSTIC-FORK,,PHYS_SURGE_BASE_70258Z0000,0.018495802049961704,,,,,{},{},energy-leak:Pitch,model leak 0.575; reference 0.107,2026-06-11T07:09:05+00:00
DEC_IMP_SURGE_20260611T100128Z0000,FD_SURGE,RBQ90_PBL255_IMPORTED_PACKAGE,DIAGNOSTIC-FORK,addclin_period_tune_imported,IMP_SURGE_00128Z0000_S1,0.7875497142849934,0.8599961721924415,46835.15234743785,,,,"{""base_period_error_pct"":11.256003,""best_period_error_pct"":4.3046735,""period_ok"":false,""nrmse"":0.18413535,""j_dof"":0.18413535,""continued_from_prefix"":""IMP_SURGE_00128Z0000"",""observations"":[{""candidate_id"":""RBQ90_PBL255_IMPORTED_PACKAGE"",""clin"":6000.0,""period"":73.447738,""period_error_pct"":11.256003},{""candidate_id"":""IMP_SURGE_00128Z0000_P1"",""clin"":-9547.487124551737,""period"":70.646086,""period_error_pct"":14.641128},{""candidate_id"":""IMP_SURGE_00128Z0000_S1"",""clin"":46835.15234743785,""period"":79.200909,""period_error_pct"":4.3046735},{""candidate_id"":""IMP_SURGE_00128Z0000_S3"",""clin"":65327.12259653119,""period"":59.97125,""period_error_pct"":27.53911}]}",period-gate-unclosed,continued IMP_SURGE_00128Z0000; base 11.256% -> best 4.305%,2026-06-11T11:18:47+00:00
DEC_IMP_HEAVE_20260611T102259Z0000,FD_HEAVE,RBQ90_PBL255_IMPORTED_PACKAGE,CONVERGED,addclin_period_tune_imported,IMP_HEAVE_02259Z0000_S1,1.0968924018526354,1.0831967519509567,-271228.26742015604,,,,"{""base_period_error_pct"":4.7326329,""best_period_error_pct"":0.63020258,""period_ok"":true,""nrmse"":0.11535044,""j_dof"":0.11535044,""observations"":[{""candidate_id"":""RBQ90_PBL255_IMPORTED_PACKAGE"",""clin"":-550000.0,""period"":21.7,""period_error_pct"":4.7326329},{""candidate_id"":""IMP_HEAVE_02259Z0000_P1"",""clin"":-468767.46792185947,""period"":21.4,""period_error_pct"":3.2847163},{""candidate_id"":""IMP_HEAVE_02259Z0000_S1"",""clin"":-271228.26742015604,""period"":20.85,""period_error_pct"":0.63020258}]}",,base 4.733% -> best 0.630%,2026-06-11T10:43:23+00:00
DEC_IMP_PITCH_20260611T104323Z0000,FD_PITCH,RBQ90_PBL255_IMPORTED_PACKAGE,CONVERGED,addclin_period_tune_imported,IMP_PITCH_04323Z0000_S1,1.080559513558807,1.077097366998234,42498012.900798075,,,,"{""base_period_error_pct"":3.9499629,""best_period_error_pct"":0.16058556,""period_ok"":true,""nrmse"":0.22777381,""j_dof"":0.22777381,""observations"":[{""candidate_id"":""RBQ90_PBL255_IMPORTED_PACKAGE"",""clin"":-112500000.0,""period"":31.807527,""period_error_pct"":3.9499629},{""candidate_id"":""IMP_PITCH_04323Z0000_P1"",""clin"":-21337807.68584594,""period"":31.079751,""period_error_pct"":1.5715242},{""candidate_id"":""IMP_PITCH_04323Z0000_S1"",""clin"":42498012.900798075,""period"":30.64802,""period_error_pct"":0.16058556}]}",,base 3.950% -> best 0.161%,2026-06-11T11:05:05+00:00
DEC_IMP_SURGE_MOOR_20260611T120201,FD_SURGE,RBQ90_PBL255_IMPORTED_PACKAGE,CONVERGED,mooring_ea_period_tune_imported,IMP_SURGE_MEA0834_114855,0.7875497142849934,,,,,"{""EA_scale"":0.834}","{""base_period_error_pct"":11.256003,""best_period_error_pct"":2.0109537,""period_ok"":true,""nrmse"":0.18921015,""j_dof"":0.18921015,""observations"":[{""candidate_id"":""RBQ90_PBL255_IMPORTED_PACKAGE"",""EA_scale"":1.0,""period"":73.447738,""period_error_pct"":11.256003},{""candidate_id"":""IMP_SURGE_MEA0787_112112"",""EA_scale"":0.78729,""period"":89.45,""period_error_pct"":8.0788977},{""candidate_id"":""IMP_SURGE_MEA0865_113536"",""EA_scale"":0.865,""period"":78.277381,""period_error_pct"":5.4205361},{""candidate_id"":""IMP_SURGE_MEA0834_114855"",""EA_scale"":0.834,""period"":84.42795,""period_error_pct"":2.0109537}]}",,mooring EA_scale bracketed period tune; base 11.256% -> best 2.011%,2026-06-11T12:02:25+00:00
DEC_BQIC_SURGE_0611142500,FD_SURGE,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SURGE_0611142500_F100,,,,1000000.0,1.0,{},"{""period_error_pct"":1.2045701,""nrmse"":0.052759261,""zeta"":0.014528889,""reference_zeta"":0.020242479,""env_err"":0.39712388,""LER_err"":1.6135749,""fp_err"":0.34291715,""period_ok"":true,""env_ok"":true,""ler_ok"":false,""fp_ok"":false}",morphology-targets-not-all-closed,parent_signed IC -13.35; BQuad 1e+06 x 1; score 0.616998,2026-06-11T14:36:47+00:00
DEC_BQIC_SURGE_0611155919,FD_SURGE,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_SURGE_0611155919_F100_I102,,,,1000000.0,1.0,{},"{""period_error_pct"":0.65078407,""nrmse"":0.050632098,""zeta"":0.010871949,""reference_zeta"":0.020242479,""env_err"":0.41243468,""LER_err"":0.12985051,""fp_err"":0.30223682,""period_ok"":true,""env_ok"":false,""ler_ok"":true,""fp_ok"":false}",morphology-targets-not-all-closed,parent_signed IC -13.617 (scale 1.02); BQuad 1e+06 x 1; score 0.367556,2026-06-11T16:09:21+00:00
DEC_BQIC_HEAVE_0612055426,FD_HEAVE,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,DIAGNOSTIC-FORK,signed_ic_bquad,BQIC_HEAVE_0612055426_F100_I080,,,,6600000.0,1.0,{},"{""period_error_pct"":0.59717992,""nrmse"":0.038386582,""zeta"":0.0014734067,""reference_zeta"":0.0063011469,""env_err"":0.52212697,""LER_err"":0.37664651,""fp_err"":0.64966695,""period_ok"":true,""env_ok"":false,""ler_ok"":true,""fp_ok"":false}",morphology-targets-not-all-closed,parent_signed IC -8.18383 (scale 0.8); BQuad 6.6e+06 x 1; score 0.81955,2026-06-12T06:04:22+00:00
