dof,candidate,run_id,out_file,period_s,period_error_pct,nrmse
FD_SURGE,RBQ90_PBL255_IMPORTED_PACKAGE,RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE\input\qg_r001_center_surge_9d3daf69.out,73.447738,11.256003,0.19100307
FD_SURGE,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000\input\qg_r001_center_surge_9d3daf69.out,84.42795,2.0109537,0.18921015
FD_SWAY,RBQ90_PBL255_IMPORTED_PACKAGE,RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE\input\qg_r001_center_sway_ac064de6.out,79.6975,0.33619512,0.18680809
FD_SWAY,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000\input\qg_r001_center_sway_ac064de6.out,79.6975,0.33619512,0.18680809
FD_HEAVE,RBQ90_PBL255_IMPORTED_PACKAGE,RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE\input\qg_r001_center_heave_adcda246.out,21.7,4.7326329,0.11350777
FD_HEAVE,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000\input\qg_r001_center_heave_adcda246.out,20.85,0.63020258,0.11535044
FD_ROLL,RBQ90_PBL255_IMPORTED_PACKAGE,RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE\input\qg_r001_center_roll_38d48f80.out,31.635965,1.9187014,0.03904948
FD_ROLL,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000\input\qg_r001_center_roll_38d48f80.out,31.635965,1.9187014,0.03904948
FD_PITCH,RBQ90_PBL255_IMPORTED_PACKAGE,RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE\input\qg_r001_center_pitch_e18abe27.out,31.807527,3.9499629,0.22047679
FD_PITCH,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000\input\qg_r001_center_pitch_e18abe27.out,30.64802,0.16058556,0.22777381
FD_YAW,RBQ90_PBL255_IMPORTED_PACKAGE,RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE\input\qg_r001_center_yaw_fe6ed2b1.out,51.584377,1.7698804,0.19062326
FD_YAW,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000\input\qg_r001_center_yaw_fe6ed2b1.out,51.584377,1.7698804,0.19062326
