dof,candidate,run_id,out_file,period_error_pct,nrmse,j_shape
FD_SURGE,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000\input\qg_r001_center_surge_9d3daf69.out,2.0109537,0.18921015,1.5301796
FD_SURGE,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,RUN_0001_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733\input\qg_r001_center_surge_9d3daf69.out,1.2045701,0.052759261,1.0788324
FD_SWAY,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000\input\qg_r001_center_sway_ac064de6.out,0.33619512,0.18680809,1.6111874
FD_SWAY,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733\input\qg_r001_center_sway_ac064de6.out,1.9047802,0.047958776,0.95272987
FD_HEAVE,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000\input\qg_r001_center_heave_adcda246.out,0.63020258,0.11535044,1.8830068
FD_HEAVE,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733\input\qg_r001_center_heave_adcda246.out,0.55247232,0.052087734,0.31810532
FD_ROLL,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000\input\qg_r001_center_roll_38d48f80.out,1.9187014,0.03904948,1.0350109
FD_ROLL,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733\input\qg_r001_center_roll_38d48f80.out,2.0019472,0.046207049,0.96576847
FD_PITCH,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000\input\qg_r001_center_pitch_e18abe27.out,0.16058556,0.22777381,2.0017654
FD_PITCH,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,RUN_0002_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,D:\OpenFast\FOCAL_C4_physics_workflow\04_current_runs\runs\RUN_0002_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733\input\qg_r001_center_pitch_e18abe27.out,0.29701453,0.014713236,0.20796211
