time,run_id,candidate_id,dof,event,pid,status,notes
2026-06-11T06:33:19+00:00,RUN_0001_FD_PITCH_PHYS_PITCH_BASE_63319Z0000,PHYS_PITCH_BASE_63319Z0000,FD_PITCH,start,,DRY_RUN,dry-run
2026-06-11T06:33:19+00:00,RUN_0001_FD_PITCH_PHYS_PITCH_BASE_63319Z0000,PHYS_PITCH_BASE_63319Z0000,FD_PITCH,end,,DRY_RUN,TMax=520; ElastoDyn initial_conditions
2026-06-11T06:33:39+00:00,RUN_0001_FD_ROLL_CAND_TEST,CAND_TEST,FD_ROLL,start,,RUNNING,
2026-06-11T06:38:15+00:00,RUN_0001_FD_ROLL_CAND_TEST,CAND_TEST,FD_ROLL,end,349156,SUCCESS,
2026-06-11T06:38:34+00:00,RUN_0002_FD_ROLL_CAND_TEST,CAND_TEST,FD_ROLL,start,,RUNNING,
2026-06-11T06:43:00+00:00,RUN_0002_FD_ROLL_CAND_TEST,CAND_TEST,FD_ROLL,end,430928,SUCCESS,
2026-06-11T06:43:25+00:00,RUN_0001_FD_PITCH_PHYS_PITCH_BASE_64324Z0000,PHYS_PITCH_BASE_64324Z0000,FD_PITCH,start,,RUNNING,
2026-06-11T06:47:15+00:00,RUN_0001_FD_PITCH_PHYS_PITCH_BASE_64324Z0000,PHYS_PITCH_BASE_64324Z0000,FD_PITCH,end,167960,SUCCESS,TMax=520; ElastoDyn initial_conditions
2026-06-11T07:02:58+00:00,RUN_0001_FD_SURGE_PHYS_SURGE_BASE_70258Z0000,PHYS_SURGE_BASE_70258Z0000,FD_SURGE,start,,RUNNING,
2026-06-11T07:08:54+00:00,RUN_0001_FD_SURGE_PHYS_SURGE_BASE_70258Z0000,PHYS_SURGE_BASE_70258Z0000,FD_SURGE,end,215588,SUCCESS,TMax=900; ElastoDyn initial_conditions
2026-06-11T07:17:45+00:00,RUN_0002_FD_SURGE_RBQ90_PBL255_FD_SURGE,RBQ90_PBL255_FD_SURGE,FD_SURGE,start,,RUNNING,
2026-06-11T07:18:54+00:00,RUN_0002_FD_SURGE_RBQ90_PBL255_FD_SURGE,RBQ90_PBL255_FD_SURGE,FD_SURGE,end,487616,FAILED,TMax=900; ElastoDyn initial_conditions; HydroDyn edits=14
2026-06-11T07:20:37+00:00,RUN_0001_FD_SURGE_RBQ90_PBL255_FD_SURGE_QGIC,RBQ90_PBL255_FD_SURGE_QGIC,FD_SURGE,start,,RUNNING,
2026-06-11T07:21:55+00:00,RUN_0001_FD_SURGE_RBQ90_PBL255_FD_SURGE_QGIC,RBQ90_PBL255_FD_SURGE_QGIC,FD_SURGE,end,474004,FAILED,TMax=900; ElastoDyn initial_conditions; HydroDyn edits=14
2026-06-11T07:50:09+00:00,RUN_0001_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_SURGE,start,,DRY_RUN,dry-run
2026-06-11T07:50:09+00:00,RUN_0001_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_SURGE,end,,DRY_RUN,
2026-06-11T07:50:24+00:00,RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_SURGE,start,,RUNNING,
2026-06-11T08:02:01+00:00,RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_SURGE,end,107656,SUCCESS,
2026-06-11T08:02:02+00:00,RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_SWAY,start,,RUNNING,
2026-06-11T08:13:06+00:00,RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_SWAY,end,370300,SUCCESS,
2026-06-11T08:13:07+00:00,RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_HEAVE,start,,RUNNING,
2026-06-11T08:24:52+00:00,RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_HEAVE,end,304436,SUCCESS,
2026-06-11T08:24:53+00:00,RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_ROLL,start,,RUNNING,
2026-06-11T08:35:41+00:00,RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_ROLL,end,251844,SUCCESS,
2026-06-11T08:35:42+00:00,RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_PITCH,start,,RUNNING,
2026-06-11T08:47:02+00:00,RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_PITCH,end,217356,SUCCESS,
2026-06-11T08:47:03+00:00,RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_YAW,start,,RUNNING,
2026-06-11T08:58:17+00:00,RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_YAW,end,437544,SUCCESS,
2026-06-11T10:01:29+00:00,RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_P1,IMP_SURGE_00128Z0000_P1,FD_SURGE,start,,RUNNING,
2026-06-11T10:11:45+00:00,RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_P1,IMP_SURGE_00128Z0000_P1,FD_SURGE,end,235808,SUCCESS,HydroDyn edits=1
2026-06-11T10:11:46+00:00,RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S1,IMP_SURGE_00128Z0000_S1,FD_SURGE,start,,RUNNING,
2026-06-11T10:22:58+00:00,RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S1,IMP_SURGE_00128Z0000_S1,FD_SURGE,end,253156,SUCCESS,HydroDyn edits=1
2026-06-11T10:22:59+00:00,RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_P1,IMP_HEAVE_02259Z0000_P1,FD_HEAVE,start,,RUNNING,
2026-06-11T10:33:04+00:00,RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_P1,IMP_HEAVE_02259Z0000_P1,FD_HEAVE,end,197132,SUCCESS,HydroDyn edits=1
2026-06-11T10:33:05+00:00,RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_S1,IMP_HEAVE_02259Z0000_S1,FD_HEAVE,start,,RUNNING,
2026-06-11T10:43:22+00:00,RUN_0001_FD_HEAVE_IMP_HEAVE_02259Z0000_S1,IMP_HEAVE_02259Z0000_S1,FD_HEAVE,end,57528,SUCCESS,HydroDyn edits=1
2026-06-11T10:43:23+00:00,RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_P1,IMP_PITCH_04323Z0000_P1,FD_PITCH,start,,RUNNING,
2026-06-11T10:54:12+00:00,RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_P1,IMP_PITCH_04323Z0000_P1,FD_PITCH,end,450956,SUCCESS,HydroDyn edits=1
2026-06-11T10:54:13+00:00,RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_S1,IMP_PITCH_04323Z0000_S1,FD_PITCH,start,,RUNNING,
2026-06-11T11:05:05+00:00,RUN_0001_FD_PITCH_IMP_PITCH_04323Z0000_S1,IMP_PITCH_04323Z0000_S1,FD_PITCH,end,114596,SUCCESS,HydroDyn edits=1
2026-06-11T11:07:45+00:00,RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S3,IMP_SURGE_00128Z0000_S3,FD_SURGE,start,,RUNNING,
2026-06-11T11:18:46+00:00,RUN_0001_FD_SURGE_IMP_SURGE_00128Z0000_S3,IMP_SURGE_00128Z0000_S3,FD_SURGE,end,430904,SUCCESS,HydroDyn edits=1
2026-06-11T11:22:13+00:00,RUN_0002_FD_SURGE_IMP_SURGE_MEA0787_112112,IMP_SURGE_MEA0787_112112,FD_SURGE,start,,DRY_RUN,dry-run
2026-06-11T11:22:13+00:00,RUN_0002_FD_SURGE_IMP_SURGE_MEA0787_112112,IMP_SURGE_MEA0787_112112,FD_SURGE,end,,DRY_RUN,MoorDyn EA_scale=0.78729
2026-06-11T11:22:20+00:00,RUN_0003_FD_SURGE_IMP_SURGE_MEA0787_112112,IMP_SURGE_MEA0787_112112,FD_SURGE,start,,RUNNING,
2026-06-11T11:32:04+00:00,RUN_0003_FD_SURGE_IMP_SURGE_MEA0787_112112,IMP_SURGE_MEA0787_112112,FD_SURGE,end,96348,SUCCESS,MoorDyn EA_scale=0.78729
2026-06-11T11:35:43+00:00,RUN_0001_FD_SURGE_IMP_SURGE_MEA0865_113536,IMP_SURGE_MEA0865_113536,FD_SURGE,start,,RUNNING,
2026-06-11T11:46:27+00:00,RUN_0001_FD_SURGE_IMP_SURGE_MEA0865_113536,IMP_SURGE_MEA0865_113536,FD_SURGE,end,170944,SUCCESS,MoorDyn EA_scale=0.865
2026-06-11T11:49:02+00:00,RUN_0001_FD_SURGE_IMP_SURGE_MEA0834_114855,IMP_SURGE_MEA0834_114855,FD_SURGE,start,,RUNNING,
