candidate_id,baseline_candidate_id,candidate_parent_id,lineage_status,target_dofs,decision,improved_targets,regressed_targets,unchanged_targets,reason
RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125,,,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,,FD_SURGE,unchanged: FD_SURGE
BQIC_SURGE_0612123519_F100_I102,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125,,,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
BQIC_SURGE_0612123519_F100_I098,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
BQIC_SURGE_0612122849_F100_I090,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125,cross_parent_blocked,FD_SURGE,HOLD_LINEAGE_MISMATCH,,,,baseline RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400 does not match candidate parent RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125
BQIC_HEAVE_0612134333_F200_I100,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_HEAVE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_HEAVE,,regressed/mixed: FD_HEAVE
BQIC_HEAVE_0612134333_F400_I100,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_HEAVE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_HEAVE,,regressed/mixed: FD_HEAVE
BQIC_HEAVE_0612135257_F100_I095,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_HEAVE,OBJECTIVE_REVIEW_PASS,FD_HEAVE,,,all target DOFs improved: FD_HEAVE
HEAVE095_CMP_0612135839,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_HEAVE,OBJECTIVE_REVIEW_PASS,FD_HEAVE,,,all target DOFs improved: FD_HEAVE
BQIC_ROLL_0612125455_F080_I100,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_ROLL,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_ROLL,,regressed/mixed: FD_ROLL
BQIC_ROLL_0612125455_F090_I100,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228_BQIC_0612060642_BQIC_0612072125_BQIC_0612091400,same_parent,FD_ROLL,OBJECTIVE_REVIEW_PASS,FD_ROLL,,,all target DOFs improved: FD_ROLL
