run_id,candidate_id,dof,reference_kind,old_heave_reference_used,period,reference_period,period_error_pct,zeta,reference_zeta,nrmse,j_dof,j_shape,amplitude_error,start_amplitude_error,start_amplitude_abs_ratio,start_amplitude_signed_ratio,reference_decay_start,model_decay_start,reference_raw_start,model_raw_start,decay_start_time_shift,phase_error,envelope_error,ler_error,fp_error,leak_json,reference_leak_json,morph_json,metric_status,notes
RUN_0001_FD_ROLL_CAND_TEST,CAND_TEST,FD_ROLL,curated,false,32.980433,31.040392,6.250052,0.0161904,0.02049542,0.1097995,0.1097995,0.99393663,0.98436948,,,,,,,,,,0.98209964,3.6402827,0.98436948,"{""Surge"":22.525047930274553,""Sway"":6.385326925003272,""Heave"":2.3022827699919626,""Pitch"":14.667967295937832,""Yaw"":1.5971631349999702}","{""Surge"":0.13004178340036146,""Sway"":0.2811231135878405,""Heave"":0.032594922860306255,""Pitch"":0.24847735333665472,""Yaw"":0.10705157585119539}","{""J_wave"":0.10979949911871048,""J_shape"":0.9939366340847137,""env_err"":0.9820996422304437,""fp_err"":0.9843694835712572,""LERD"":0.006198794134455628,""LERM"":0.028764156990869722,""LER_err"":3.6402826690091015,""Tend"":534.925}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_ROLL_CAND_TEST/input/OpenFAST_input_files/IEA-15-240-RWT-UMaineSemi.out
RUN_0002_FD_ROLL_CAND_TEST,CAND_TEST,FD_ROLL,curated,false,32.980433,31.040392,6.250052,0.0161904,0.02049542,0.1097995,0.1097995,0.99393663,0.98436948,,,,,,,,,,0.98209964,3.6402827,0.98436948,"{""Surge"":22.525047930274553,""Sway"":6.385326925003272,""Heave"":2.3022827699919626,""Pitch"":14.667967295937832,""Yaw"":1.5971631349999702}","{""Surge"":0.13004178340036146,""Sway"":0.2811231135878405,""Heave"":0.032594922860306255,""Pitch"":0.24847735333665472,""Yaw"":0.10705157585119539}","{""J_wave"":0.10979949911871048,""J_shape"":0.9939366340847137,""env_err"":0.9820996422304437,""fp_err"":0.9843694835712572,""LERD"":0.006198794134455628,""LERM"":0.028764156990869722,""LER_err"":3.6402826690091015,""Tend"":534.925}",PASS,metrics computed from 04_current_runs/runs/RUN_0002_FD_ROLL_CAND_TEST/input/OpenFAST_input_files/IEA-15-240-RWT-UMaineSemi.out
RUN_0001_FD_PITCH_PHYS_PITCH_BASE_64324Z0000,PHYS_PITCH_BASE_64324Z0000,FD_PITCH,curated,false,8.4971535,30.598882,72.23051,0.0048170764,0.025569995,0.14529556,0.14529556,1.1559794,0.63375074,,,,,,,,,,0.4895054,0.95751181,0.63375074,"{""Surge"":2.4188754771872163,""Sway"":0.2518093166962605,""Heave"":0.14527593044525738,""Roll"":0.04949999692224965,""Yaw"":0.12173281595620743}","{""Surge"":0.3652553627158409,""Sway"":0.11511580438120428,""Heave"":0.09709203619753709,""Roll"":0.24451383619627762,""Yaw"":0.12733165013806358}","{""J_wave"":0.14529556480053424,""J_shape"":1.155979372353125,""env_err"":0.4895053977512767,""fp_err"":0.6337507364672056,""LERD"":0.013125939777430977,""LERM"":0.000557697420495476,""LER_err"":0.9575118102054382,""Tend"":484.68}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_PITCH_PHYS_PITCH_BASE_64324Z0000/input/OpenFAST_input_files/IEA-15-240-RWT-UMaineSemi.out
RUN_0001_FD_SURGE_PHYS_SURGE_BASE_70258Z0000,PHYS_SURGE_BASE_70258Z0000,FD_SURGE,curated,false,11.255791,82.763612,86.400072,0.0026395132,0.020242479,0.14118563,0.14118563,1.1083569,0.60587018,,,,,,,,,,0.63018581,0.75465199,0.60587018,"{""Sway"":0.1245081655367507,""Heave"":0.05331231566343966,""Roll"":0.025185943763258476,""Pitch"":0.5750014765506691,""Yaw"":0.053891836712260506}","{""Sway"":0.15896017090110728,""Heave"":0.01968059507325694,""Roll"":0.03291602612100948,""Pitch"":0.10723769417504003,""Yaw"":0.03816688415976064}","{""J_wave"":0.14118563128170775,""J_shape"":1.1083568981056875,""env_err"":0.6301858072313558,""fp_err"":0.6058701814377145,""LERD"":0.003995852928715648,""LERM"":0.0009803745633323083,""LER_err"":0.7546519902454414,""Tend"":740.9499999999999}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_SURGE_PHYS_SURGE_BASE_70258Z0000/input/OpenFAST_input_files/IEA-15-240-RWT-UMaineSemi.out
RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_SURGE,curated,false,73.447738,82.763612,11.256003,0.0086445116,0.020242479,0.19100307,0.19100307,1.736505,0.058797878,,,,,,,,,,0.38023557,1.6722015,0.058797878,"{""Sway"":0.09958462396391045,""Heave"":0.1506206567791624,""Roll"":0.19623457193236082,""Pitch"":0.19252577883011227,""Yaw"":0.24557169318746438}","{""Sway"":0.15896017090110728,""Heave"":0.01968059507325694,""Roll"":0.03291602612100948,""Pitch"":0.10723769417504003,""Yaw"":0.03816688415976064}","{""J_wave"":0.19100306645174162,""J_shape"":1.73650501860652,""env_err"":0.38023556688713633,""fp_err"":0.05879787776816798,""LERD"":0.003995852928715648,""LERM"":0.010677724066267841,""LER_err"":1.6722014690615474,""Tend"":740.9499999999999}",PASS,metrics computed from 04_current_runs/runs/RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE/input/qg_r001_center_surge_9d3daf69.out
RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_SWAY,curated,false,79.6975,79.430459,0.33619512,0.014835088,0.023182848,0.18680809,0.18680809,1.6111874,0.10040307,,,,,,,,,,0.36455892,0.43219327,0.10040307,"{""Surge"":0.24253690890641216,""Heave"":0.2180346334450015,""Roll"":0.22683506273478127,""Pitch"":0.1507262440704654,""Yaw"":0.39752680476834956}","{""Surge"":0.09911156186697814,""Heave"":0.018040555839837675,""Roll"":0.11940848210435888,""Pitch"":0.0384504331662194,""Yaw"":0.1166189583607766}","{""J_wave"":0.18680809321955733,""J_shape"":1.6111873580216733,""env_err"":0.3645589234601821,""fp_err"":0.10040307107122881,""LERD"":0.008732298675839493,""LERM"":0.012506339373558942,""LER_err"":0.432193267525475,""Tend"":899.8}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE/input/qg_r001_center_sway_ac064de6.out
RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_HEAVE,curated,false,21.7,20.719426,4.7326329,0.0026388732,0.0063011469,0.11350777,0.11350777,1.6911478,0.38829902,,,,,,,,,,0.47966807,3.3085281,0.38829902,"{""Surge"":1.3257990051623485,""Sway"":0.34413134887989577,""Roll"":1.3862644917740636,""Pitch"":0.6966793866418415,""Yaw"":0.7812968249131615}","{""Surge"":0.694133163574395,""Sway"":0.3830351608671329,""Roll"":0.23088104002761986,""Pitch"":0.08142292151490593,""Yaw"":0.09687871817782223}","{""J_wave"":0.11350777062902036,""J_shape"":1.6911478283680104,""env_err"":0.4796680729260148,""fp_err"":0.38829902454899284,""LERD"":0.002003839225521178,""LERM"":0.00863359768875529,""LER_err"":3.30852813878308,""Tend"":481.07000000000005}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE/input/qg_r001_center_heave_adcda246.out
RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_ROLL,curated,false,31.635965,31.040392,1.9187014,0.011375854,0.02049542,0.03904948,0.03904948,1.0350109,0.23737479,,,,,,,,,,0.19039196,1.3015898,0.23737479,"{""Surge"":0.28982106395987406,""Sway"":0.4865682556120836,""Heave"":0.24709133147040696,""Pitch"":0.1552011263099447,""Yaw"":0.21822524725097425}","{""Surge"":0.13004178340036146,""Sway"":0.2811231135878405,""Heave"":0.032594922860306255,""Pitch"":0.24847735333665472,""Yaw"":0.10705157585119539}","{""J_wave"":0.03904947970872835,""J_shape"":1.0350109388523352,""env_err"":0.19039195571492942,""fp_err"":0.2373747947129255,""LERD"":0.0014126079797959585,""LERM"":0.0032512440929364293,""LER_err"":1.3015897824717435,""Tend"":773.8700000000001}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE/input/qg_r001_center_roll_38d48f80.out
RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_PITCH,curated,false,31.807527,30.598882,3.9499629,0.014882013,0.025569995,0.22047679,0.22047679,1.4517646,0.023297397,,,,,,,,,,0.16199491,0.46411207,0.023297397,"{""Surge"":0.4436692394446724,""Sway"":0.1828424282797745,""Heave"":0.32413580080628784,""Roll"":0.44250051168918947,""Yaw"":0.3678844958153312}","{""Surge"":0.3652553627158409,""Sway"":0.11511580438120428,""Heave"":0.09709203619753709,""Roll"":0.24451383619627762,""Yaw"":0.12733165013806358}","{""J_wave"":0.22047678966734566,""J_shape"":1.451764560966166,""env_err"":0.16199491100525462,""fp_err"":0.023297397123887512,""LERD"":0.013125939777430977,""LERM"":0.007034032710075312,""LER_err"":0.4641120689758322,""Tend"":484.68}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE/input/qg_r001_center_pitch_e18abe27.out
RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE,RBQ90_PBL255_IMPORTED_PACKAGE,FD_YAW,curated,false,51.584377,50.687273,1.7698804,0.014419733,0.024700713,0.19062326,0.19062326,1.9622106,0.11083667,,,,,,,,,,0.22971802,1.6170478,0.11083667,"{""Surge"":0.44959856933767023,""Sway"":0.273795316230218,""Heave"":0.19339325691750453,""Roll"":0.24577407989259015,""Pitch"":0.19679297885705857}","{""Surge"":0.1667131756781034,""Sway"":0.06151291011602063,""Heave"":0.00833951391833249,""Roll"":0.08748756161027149,""Pitch"":0.06650130575791667}","{""J_wave"":0.19062325880341568,""J_shape"":1.962210581448738,""env_err"":0.2297180211894801,""fp_err"":0.11083667491549014,""LERD"":0.010254479339074602,""LERM"":0.026836462100685667,""LER_err"":1.6170477518468995,""Tend"":628.0}",PASS,metrics computed from 04_current_runs/runs/RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE/input/qg_r001_center_yaw_fe6ed2b1.out
