candidate_id,num_dof_completed,period_pass_count,max_period_error_pct,all_six_period_under_limit,start_amplitude_pass_count,max_start_amplitude_error,all_six_start_amplitude_under_limit,j_total,j_shape_total,start_amplitude_error_total,score_total,rank,decision,reason
AMP_SH_H054_SWTTD_SG1019_07040711,6,6,2.4795794,true,6,0.19309212,true,0.17651638,3.2209695,0.79855847,0.37615599,1,PACKAGE_READY,six DOF period and start amplitude gates passed
AMP_SH_HAF15_Y15052_R8715_07041136,6,6,2.4795794,true,6,0.1951654,true,0.17929113,3.2231102,0.82713878,0.38607582,2,PACKAGE_READY,six DOF period and start amplitude gates passed
AMP_SH_H054_SWTTD_Y15052_R8715_07041055,6,6,2.4795794,true,6,0.1951654,true,0.17939761,3.2192439,0.87118526,0.39719393,3,PACKAGE_READY,six DOF period and start amplitude gates passed
AMP_SH_H054_SWTTD_Y15052_07041000,6,6,2.4795794,true,6,0.1951654,true,0.17944355,3.2505914,0.87151971,0.39732347,4,PACKAGE_READY,six DOF period and start amplitude gates passed
AMP_SH_SY_R965_H058_SWTTD_N2_07040340_BQIC_0704043815,6,6,2.4795794,true,6,0.19309212,true,0.18090887,3.2699743,0.86670287,0.39758459,5,PACKAGE_READY,six DOF period and start amplitude gates passed
AMP_SH_SY_R965_H058_SWTTD_N2_07040340,6,6,2.4795794,true,6,0.19309212,true,0.18129921,3.2691021,0.90652572,0.40793064,6,PACKAGE_READY,six DOF period and start amplitude gates passed
AMP_SH_SY_R965_H058_07031325,6,6,2.632181,true,6,0.19309212,true,0.18426412,3.2765803,0.89904718,0.40902591,7,PACKAGE_READY,six DOF period and start amplitude gates passed
AMP_SH_SY_ROLL090_06171518,6,6,2.632181,true,6,0.19325935,true,0.18309614,3.2439764,0.91924651,0.41290777,8,PACKAGE_READY,six DOF period and start amplitude gates passed
AMP_SH_SY_R965_06171637,6,6,2.632181,true,6,0.19309212,true,0.18455768,3.2763783,0.91907928,0.4143275,9,PACKAGE_READY,six DOF period and start amplitude gates passed
AMP_SH_SY_06172058,6,6,2.632181,true,6,0.19242321,true,0.18551563,3.2695357,0.91841037,0.41511823,10,PACKAGE_READY,six DOF period and start amplitude gates passed
AMP_SH_S_BASEYAW_06171610,6,6,2.632181,true,6,0.19985461,true,0.18835173,3.4117533,0.92791642,0.42033083,11,PACKAGE_READY,six DOF period and start amplitude gates passed
HEAVE_AF0_N20M_IC83_BL100_BQ075_T450_0706,1,1,0.92171712,false,1,0.0044903279,false,0.018702579,0.26970715,0.0044903279,0.019825161,12,HOLD,"missing/failed DOFs: FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY,FD_YAW"
HEAVE_AF0_N20M_IC83_BL100_BQ090_FULL_0706,1,1,0.89414571,false,1,0.0040233145,false,0.020137016,0.25677891,0.0040233145,0.021142845,13,HOLD,"missing/failed DOFs: FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY,FD_YAW"
HEAVE_AF0_N20M_IC83_BL100_BQ090_T450_0706,1,1,0.98909445,false,1,0.0040269347,false,0.020797336,0.25248869,0.0040269347,0.02180407,14,HOLD,"missing/failed DOFs: FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY,FD_YAW"
HEAVE_AF0_N20M_IC83_BL100_BQ095_FULL_0706,1,1,0.93146568,false,1,0.0038929851,false,0.021112565,0.26545338,0.0038929851,0.022085811,15,HOLD,"missing/failed DOFs: FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY,FD_YAW"
